#class tools::wcsv::ntuple
#title TrackL
#separator 44
#vector_separator 59
#column double Labs
#column double Lgap
0,0
0,0
4786.1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
106.028,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3526.69,0
7223.02,0
0,0
0,0
0,0
0,0
4043.33,0
0,0
0,0
4921.47,0
0,0
0,0
0,0
0,0
0,0
7383.93,0
6191.7,0
0,0
0,0
0,0
10736.8,0
0,0
0,0
381.002,0
0,0
0,0
6646.81,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3899.95,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6469.58,0
0,0
0,0
0,0
0,0
0,0
7871.52,0
0,0
0,0
5656.21,0
0,0
0,0
0,0
2360,0
0,0
0,0
797.384,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2882.67,0
0,0
0,0
0,0
0,0
0,0
5599.05,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4593.19,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
113.207,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
139.143,0
0,0
0,0
6478.37,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
264.232,0
0,0
0,0
0,0
618.598,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
266.713,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4632.74,0
0,0
0,0
0,0
0,0
3272.68,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
82.9808,0
0,0
0,0
0,0
0,0
0,0
1164.22,0
0,0
0,0
2033.54,0
0,0
569.751,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
